showing info https://raw.githubusercontent.com/nltk/nltk_data/gh-pages/index.xml
| Word                     |   Count |
|--------------------------+---------|
| si                       |      90 |
| solo                     |      87 |
| asi                      |      70 |
| luz                      |      70 |
| amor                     |      68 |
| mas                      |      67 |
| ah                       |      62 |
| vez                      |      47 |
| nunca                    |      45 |
| sol                      |      41 |
| quiero                   |      36 |
| fin                      |      34 |
| cielo                    |      33 |
| ver                      |      33 |
| alma                     |      32 |
| corazon                  |      31 |
| mundo                    |      31 |
| siempre                  |      31 |
| ves                      |      31 |
| tiempo                   |      30 |
| voy                      |      30 |
| tan                      |      29 |
| vuelo                    |      29 |
| hoy                      |      28 |
| ser                      |      28 |
| va                       |      27 |
| toda                     |      26 |
| viento                   |      26 |
| aqui                     |      25 |
| vida                     |      23 |
| aire                     |      22 |
| bien                     |      22 |
| oh                       |      22 |
| veo                      |      22 |
| tira                     |      21 |
| mar                      |      20 |
| noche                    |      20 |
| piel                     |      20 |
| aunque                   |      19 |
| cuerpo                   |      19 |
| dia                      |      19 |
| hacia                    |      19 |
| cada                     |      18 |
| nena                     |      18 |
| ojos                     |      18 |
| puedo                    |      18 |
| saber                    |      18 |
| vos                      |      18 |
| you                      |      18 |
| acaso                    |      17 |
| alguien                  |      17 |
| bajo                     |      17 |
| dale                     |      17 |
| manos                    |      17 |
| prueba                   |      17 |
| ven                      |      17 |
| volar                    |      17 |
| mientras                 |      16 |
| alli                     |      15 |
| luna                     |      15 |
| my                       |      15 |
| nadie                    |      15 |
| cosas                    |      14 |
| da                       |      14 |
| fanatica                 |      14 |
| habra                    |      14 |
| miraba                   |      14 |
| quedo                    |      14 |
| sabe                     |      14 |
| todas                    |      14 |
| ave                      |      13 |
| dulce                    |      13 |
| gente                    |      13 |
| instante                 |      13 |
| llevo                    |      13 |
| lluvia                   |      13 |
| quiere                   |      13 |
| sueno                    |      13 |
| vivir                    |      13 |
| alas                     |      12 |
| azul                     |      12 |
| dime                     |      12 |
| dios                     |      12 |
| espero                   |      12 |
| hojas                    |      12 |
| manana                   |      12 |
| nombre                   |      12 |
| piedra                   |      12 |
| puede                    |      12 |
| rayo                     |      12 |
| seguir                   |      12 |
| the                      |      12 |
| verdad                   |      12 |
| viene                    |      12 |
| amo                      |      11 |
